type,time,latitude,longitude,accuracy (m),altitude (m),geoid_height (m),speed (m/s),bearing (deg),sat_used,sat_inview,name,desc
T,2021-10-15 13:16:11,52.08746256,5.16379223,5,57.500,,0.000,246,16,16,,
T,2021-10-15 13:16:12,52.08746256,5.16379223,5,57.500,,0.000,246,16,16,,
T,2021-10-15 13:16:13,52.08746256,5.16379223,5,57.500,,0.000,246,14,16,,
T,2021-10-15 13:16:14,52.08746256,5.16379223,5,57.500,,0.000,246,15,17,,
T,2021-10-15 13:16:15,52.08746256,5.16379223,5,57.500,,0.000,246,14,17,,
T,2021-10-15 13:16:16,52.08746256,5.16379223,5,57.500,,0.000,246,16,17,,
T,2021-10-15 13:16:17,52.08746256,5.16379223,5,57.500,,0.000,246,16,17,,
T,2021-10-15 13:16:18,52.08746256,5.16379223,5,57.500,,0.000,246,15,16,,
T,2021-10-15 13:16:19,52.08746256,5.16379223,5,57.500,,0.000,246,14,16,,
T,2021-10-15 13:16:20,52.08746256,5.16379223,5,57.500,,0.000,246,14,17,,
T,2021-10-15 13:16:21,52.08746256,5.16379223,5,57.500,,0.000,246,15,17,,
T,2021-10-15 13:16:22,52.08746256,5.16379223,5,57.500,,0.000,246,15,17,,
T,2021-10-15 13:16:23,52.08746256,5.16379223,5,57.500,,0.000,246,16,17,,
T,2021-10-15 13:16:24,52.08746256,5.16379223,5,57.500,,0.000,246,15,17,,
T,2021-10-15 13:16:25,52.08746256,5.16379223,5,57.500,,0.000,246,15,17,,
T,2021-10-15 13:16:26,52.08746256,5.16379223,5,57.500,,0.000,246,14,17,,
T,2021-10-15 13:16:27,52.08746256,5.16379223,5,57.500,,0.000,246,14,17,,
T,2021-10-15 13:16:28,52.08746256,5.16379223,5,57.500,,0.000,246,14,17,,
T,2021-10-15 13:16:29,52.08746256,5.16379223,5,57.500,,0.000,246,16,17,,
T,2021-10-15 13:16:30,52.08746256,5.16379223,5,57.500,,0.000,246,16,17,,
T,2021-10-15 13:16:31,52.08746256,5.16379223,5,57.500,,0.000,246,17,17,,
T,2021-10-15 13:16:32,52.08746256,5.16379223,5,57.500,,0.000,246,16,17,,
T,2021-10-15 13:16:33,52.08746256,5.16379223,5,57.500,,0.000,246,15,17,,
T,2021-10-15 13:16:34,52.08746256,5.16379223,5,57.500,,0.000,246,15,17,,
T,2021-10-15 13:16:35,52.08746256,5.16379223,5,57.500,,0.000,246,14,16,,
T,2021-10-15 13:16:36,52.08746256,5.16379223,5,57.500,,0.000,246,14,15,,
T,2021-10-15 13:16:37,52.08746256,5.16379223,5,57.500,,0.000,246,15,16,,
T,2021-10-15 13:16:38,52.08746256,5.16379223,5,57.500,,0.000,246,15,17,,
T,2021-10-15 13:16:39,52.08746256,5.16379223,5,57.500,,0.000,246,15,18,,
T,2021-10-15 13:16:40,52.08746256,5.16379223,5,57.500,,0.000,246,14,18,,
