type,time,latitude,longitude,accuracy (m),altitude (m),geoid_height (m),speed (m/s),bearing (deg),sat_used,sat_inview,name,desc
T,2021-10-15 14:57:40,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:57:41,52.08770589,5.16532168,5,53.500,,0.000,158,15,19,,
T,2021-10-15 14:57:42,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:57:43,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:57:44,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:57:45,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:57:46,52.08770589,5.16532168,5,53.500,,0.000,158,15,19,,
T,2021-10-15 14:57:47,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:57:48,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:57:49,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:57:50,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:57:51,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:57:52,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:57:53,52.08770589,5.16532168,5,53.500,,0.000,158,15,19,,
T,2021-10-15 14:57:54,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:57:55,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:57:56,52.08770589,5.16532168,5,53.500,,0.000,158,15,19,,
T,2021-10-15 14:57:57,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:57:58,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:57:59,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:58:00,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:58:01,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:58:02,52.08770589,5.16532168,5,53.500,,0.000,158,15,19,,
T,2021-10-15 14:58:03,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:58:04,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:58:05,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:58:06,52.08770589,5.16532168,5,53.500,,0.000,158,15,19,,
T,2021-10-15 14:58:07,52.08770589,5.16532168,5,53.500,,0.000,158,15,19,,
T,2021-10-15 14:58:08,52.08770589,5.16532168,5,53.500,,0.000,158,14,19,,
T,2021-10-15 14:58:09,52.08770589,5.16532168,5,53.500,,0.000,158,14,19,,
T,2021-10-15 14:58:10,52.08770589,5.16532168,5,53.500,,0.000,158,15,19,,
T,2021-10-15 14:58:11,52.08770589,5.16532168,5,53.500,,0.000,158,15,19,,
T,2021-10-15 14:58:12,52.08770589,5.16532168,5,53.500,,0.000,158,14,19,,
T,2021-10-15 14:58:13,52.08770589,5.16532168,5,53.500,,0.000,158,15,19,,
T,2021-10-15 14:58:14,52.08770589,5.16532168,5,53.500,,0.000,158,15,19,,
T,2021-10-15 14:58:15,52.08770589,5.16532168,5,53.500,,0.000,158,15,19,,
T,2021-10-15 14:58:16,52.08770589,5.16532168,5,53.500,,0.000,158,15,19,,
T,2021-10-15 14:58:17,52.08770589,5.16532168,5,53.500,,0.000,158,15,19,,
T,2021-10-15 14:58:18,52.08770589,5.16532168,5,53.500,,0.000,158,14,19,,
T,2021-10-15 14:58:19,52.08770589,5.16532168,5,53.500,,0.000,158,14,19,,
T,2021-10-15 14:58:20,52.08770589,5.16532168,5,53.500,,0.000,158,14,19,,
T,2021-10-15 14:58:21,52.08770589,5.16532168,5,53.500,,0.000,158,15,19,,
T,2021-10-15 14:58:22,52.08770589,5.16532168,5,53.500,,0.000,158,15,19,,
T,2021-10-15 14:58:23,52.08770589,5.16532168,5,53.500,,0.000,158,15,19,,
T,2021-10-15 14:58:24,52.08770589,5.16532168,5,53.500,,0.000,158,15,19,,
T,2021-10-15 14:58:25,52.08770589,5.16532168,5,53.500,,0.000,158,14,19,,
T,2021-10-15 14:58:26,52.08770589,5.16532168,5,53.500,,0.000,158,14,19,,
T,2021-10-15 14:58:27,52.08770589,5.16532168,5,53.500,,0.000,158,14,19,,
T,2021-10-15 14:58:28,52.08770589,5.16532168,5,53.500,,0.000,158,14,19,,
T,2021-10-15 14:58:29,52.08770589,5.16532168,5,53.500,,0.000,158,14,19,,
T,2021-10-15 14:58:30,52.08770589,5.16532168,5,53.500,,0.000,158,14,19,,
T,2021-10-15 14:58:31,52.08770589,5.16532168,5,53.500,,0.000,158,14,19,,
T,2021-10-15 14:58:32,52.08770589,5.16532168,5,53.500,,0.000,158,15,19,,
T,2021-10-15 14:58:33,52.08770589,5.16532168,5,53.500,,0.000,158,15,19,,
T,2021-10-15 14:58:34,52.08770589,5.16532168,5,53.500,,0.000,158,15,19,,
T,2021-10-15 14:58:35,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:58:36,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:58:37,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:58:38,52.08770589,5.16532168,5,53.500,,0.000,158,15,18,,
T,2021-10-15 14:58:39,52.08770589,5.16532168,5,53.500,,0.000,158,15,19,,
T,2021-10-15 14:58:40,52.08770589,5.16532168,5,53.500,,0.000,158,15,19,,
T,2021-10-15 14:58:41,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:58:42,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:58:43,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:58:44,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:58:45,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:58:46,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:58:47,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:58:48,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:58:49,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:58:50,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:58:51,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:58:52,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:58:53,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:58:54,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:58:55,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:58:56,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:58:57,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:58:58,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:58:59,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:59:00,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:59:01,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:59:02,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:59:03,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:59:04,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:59:05,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:59:06,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:59:07,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:59:08,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:59:09,52.08770589,5.16532168,5,53.500,,0.000,158,16,19,,
T,2021-10-15 14:59:10,52.08770589,5.16532168,5,53.500,,0.000,158,17,19,,
T,2021-10-15 14:59:11,52.08765007,5.16541799,5,53.900,,0.000,158,17,19,,
T,2021-10-15 14:59:12,52.08765002,5.16541790,5,53.900,,0.000,158,17,19,,
T,2021-10-15 14:59:13,52.08764998,5.16541782,5,53.900,,0.000,158,17,19,,
T,2021-10-15 14:59:14,52.08764994,5.16541773,5,53.900,,0.000,158,17,19,,
T,2021-10-15 14:59:15,52.08764994,5.16541773,5,53.900,,0.000,158,17,19,,
T,2021-10-15 14:59:16,52.08764994,5.16541773,5,53.900,,0.000,158,17,19,,
T,2021-10-15 14:59:17,52.08764994,5.16541773,5,53.900,,0.000,158,17,19,,
T,2021-10-15 14:59:18,52.08764994,5.16541773,5,53.900,,0.000,158,17,19,,
T,2021-10-15 14:59:19,52.08764994,5.16541773,5,53.900,,0.000,158,17,19,,
T,2021-10-15 14:59:20,52.08764994,5.16541773,5,53.900,,0.000,158,17,19,,
T,2021-10-15 14:59:21,52.08764994,5.16541773,5,53.900,,0.000,158,17,19,,
T,2021-10-15 14:59:22,52.08764994,5.16541773,5,53.900,,0.000,158,17,19,,
T,2021-10-15 14:59:23,52.08764994,5.16541773,5,53.900,,0.000,158,17,19,,
T,2021-10-15 14:59:24,52.08764994,5.16541773,5,53.900,,0.000,158,17,19,,
T,2021-10-15 14:59:25,52.08764994,5.16541773,5,53.900,,0.000,158,17,19,,
T,2021-10-15 14:59:26,52.08764994,5.16541773,5,53.900,,0.000,158,17,19,,
T,2021-10-15 14:59:27,52.08764994,5.16541773,5,53.900,,0.000,158,17,19,,
T,2021-10-15 14:59:28,52.08764994,5.16541773,5,53.900,,0.000,158,17,19,,
T,2021-10-15 14:59:29,52.08764994,5.16541773,5,53.900,,0.000,158,17,19,,
T,2021-10-15 14:59:30,52.08764994,5.16541773,5,53.900,,0.000,158,17,19,,
T,2021-10-15 14:59:31,52.08764994,5.16541773,5,53.900,,0.000,158,17,19,,
T,2021-10-15 14:59:32,52.08764994,5.16541773,5,53.900,,0.000,158,17,19,,
T,2021-10-15 14:59:33,52.08764994,5.16541773,5,53.900,,0.000,158,17,19,,
T,2021-10-15 14:59:34,52.08764994,5.16541773,5,53.900,,0.000,158,16,19,,
T,2021-10-15 14:59:35,52.08764994,5.16541773,5,53.900,,0.000,158,17,19,,
T,2021-10-15 14:59:36,52.08764994,5.16541773,5,53.900,,0.000,158,17,19,,
T,2021-10-15 14:59:37,52.08764994,5.16541773,5,53.900,,0.000,158,16,19,,
T,2021-10-15 14:59:38,52.08764994,5.16541773,5,53.900,,0.000,158,16,19,,
T,2021-10-15 14:59:39,52.08764994,5.16541773,5,53.900,,0.000,158,16,19,,
T,2021-10-15 14:59:40,52.08764994,5.16541773,5,53.900,,0.000,158,16,19,,
T,2021-10-15 14:59:41,52.08764994,5.16541773,5,53.900,,0.000,158,16,19,,
T,2021-10-15 14:59:42,52.08764994,5.16541773,5,53.900,,0.000,158,17,19,,
T,2021-10-15 14:59:43,52.08764994,5.16541773,5,53.900,,0.000,158,17,19,,
T,2021-10-15 14:59:44,52.08764994,5.16541773,5,53.900,,0.000,158,17,19,,
T,2021-10-15 14:59:45,52.08764994,5.16541773,5,53.900,,0.000,158,17,19,,
T,2021-10-15 14:59:46,52.08764994,5.16541773,5,53.900,,0.000,158,17,19,,
T,2021-10-15 14:59:47,52.08764994,5.16541773,5,53.900,,0.000,158,17,19,,
T,2021-10-15 14:59:48,52.08764994,5.16541773,5,53.900,,0.000,158,17,19,,
T,2021-10-15 14:59:49,52.08764994,5.16541773,5,53.900,,0.000,158,17,19,,
T,2021-10-15 14:59:50,52.08764994,5.16541773,5,53.900,,0.000,158,18,19,,
T,2021-10-15 14:59:51,52.08764994,5.16541773,5,53.900,,0.000,158,18,19,,
T,2021-10-15 14:59:52,52.08764994,5.16541773,5,53.900,,0.000,158,18,19,,
T,2021-10-15 14:59:53,52.08764994,5.16541773,5,53.900,,0.000,158,18,19,,
T,2021-10-15 14:59:54,52.08764994,5.16541773,5,53.900,,0.000,158,18,19,,
T,2021-10-15 14:59:55,52.08764994,5.16541773,5,53.900,,0.000,158,18,19,,
T,2021-10-15 14:59:56,52.08764994,5.16541773,5,53.900,,0.000,158,18,19,,
T,2021-10-15 14:59:57,52.08764994,5.16541773,5,53.900,,0.000,158,18,19,,
T,2021-10-15 14:59:58,52.08764994,5.16541773,5,53.900,,0.000,158,18,19,,
T,2021-10-15 14:59:59,52.08764994,5.16541773,5,53.900,,0.000,158,18,19,,
T,2021-10-15 15:00:00,52.08764994,5.16541773,5,53.900,,0.000,158,18,19,,
T,2021-10-15 15:00:01,52.08764994,5.16541773,5,53.900,,0.000,158,18,19,,
T,2021-10-15 15:00:02,52.08764994,5.16541773,5,53.900,,0.000,158,18,19,,
T,2021-10-15 15:00:03,52.08764994,5.16541773,5,53.900,,0.000,158,17,19,,
T,2021-10-15 15:00:04,52.08764994,5.16541773,5,53.900,,0.000,158,17,19,,
T,2021-10-15 15:00:05,52.08764994,5.16541773,5,53.900,,0.000,158,18,19,,
T,2021-10-15 15:00:06,52.08764994,5.16541773,5,53.900,,0.000,158,18,19,,
T,2021-10-15 15:00:07,52.08764994,5.16541773,5,53.900,,0.000,158,18,19,,
T,2021-10-15 15:00:08,52.08764994,5.16541773,5,53.900,,0.000,158,18,19,,
T,2021-10-15 15:00:09,52.08764994,5.16541773,5,53.900,,0.000,158,18,19,,
T,2021-10-15 15:00:10,52.08764994,5.16541773,5,53.900,,0.000,158,18,19,,
T,2021-10-15 15:00:11,52.08764994,5.16541773,5,53.900,,0.000,158,18,19,,
T,2021-10-15 15:00:12,52.08764994,5.16541773,5,53.900,,0.000,158,18,19,,
T,2021-10-15 15:00:13,52.08764994,5.16541773,5,53.900,,0.000,158,18,19,,
T,2021-10-15 15:00:14,52.08764994,5.16541773,5,53.900,,0.000,158,18,19,,
T,2021-10-15 15:00:15,52.08764994,5.16541773,5,53.900,,0.000,158,17,19,,
T,2021-10-15 15:00:16,52.08764994,5.16541773,5,53.900,,0.000,158,17,19,,
T,2021-10-15 15:00:17,52.08764994,5.16541773,5,53.900,,0.000,158,17,19,,
T,2021-10-15 15:00:18,52.08764994,5.16541773,5,53.900,,0.000,158,17,19,,
T,2021-10-15 15:00:19,52.08764994,5.16541773,5,53.900,,0.000,158,18,19,,
T,2021-10-15 15:00:20,52.08764994,5.16541773,5,53.900,,0.000,158,18,19,,
T,2021-10-15 15:00:21,52.08764994,5.16541773,5,53.900,,0.000,158,17,19,,
T,2021-10-15 15:00:22,52.08764994,5.16541773,5,53.900,,0.000,158,17,19,,
T,2021-10-15 15:00:23,52.08764994,5.16541773,5,53.900,,0.000,158,17,19,,
T,2021-10-15 15:00:24,52.08764994,5.16541773,5,53.900,,0.000,158,17,19,,
T,2021-10-15 15:00:25,52.08764994,5.16541773,5,53.900,,0.000,158,17,19,,
T,2021-10-15 15:00:26,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:00:27,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:00:28,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:00:29,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:00:30,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:00:31,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:00:32,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:00:33,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:00:34,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:00:35,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:00:36,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:00:37,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:00:38,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:00:39,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:00:40,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:00:41,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:00:42,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:00:43,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:00:44,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:00:45,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:00:46,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:00:47,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:00:48,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:00:49,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:00:50,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:00:51,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:00:52,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:00:53,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:00:54,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:00:55,52.08764994,5.16541773,5,53.900,,0.000,158,15,18,,
T,2021-10-15 15:00:56,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:00:57,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:00:58,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:00:59,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:01:00,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:01:01,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:01:02,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:01:03,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:01:04,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:01:05,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:01:06,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:01:07,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:01:08,52.08764994,5.16541773,5,53.900,,0.000,158,15,18,,
T,2021-10-15 15:01:09,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:01:10,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:01:11,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:01:12,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:01:13,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:01:14,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:01:15,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:01:16,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:01:17,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:01:18,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:01:19,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:01:20,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:01:21,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:01:22,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:01:23,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:01:24,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:01:25,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:01:26,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:01:27,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:01:28,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:01:29,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:01:30,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:01:31,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:01:32,52.08764994,5.16541773,5,53.900,,0.000,158,17,18,,
T,2021-10-15 15:01:33,52.08764994,5.16541773,5,53.900,,0.000,158,17,18,,
T,2021-10-15 15:01:34,52.08764994,5.16541773,5,53.900,,0.000,158,17,18,,
T,2021-10-15 15:01:35,52.08764994,5.16541773,5,53.900,,0.000,158,17,18,,
T,2021-10-15 15:01:36,52.08764994,5.16541773,5,53.900,,0.000,158,17,18,,
T,2021-10-15 15:01:37,52.08764994,5.16541773,5,53.900,,0.000,158,17,18,,
T,2021-10-15 15:01:38,52.08764994,5.16541773,5,53.900,,0.000,158,17,18,,
T,2021-10-15 15:01:39,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:01:40,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:01:41,52.08764994,5.16541773,5,53.900,,0.000,158,15,18,,
T,2021-10-15 15:01:42,52.08764994,5.16541773,5,53.900,,0.000,158,15,18,,
T,2021-10-15 15:01:43,52.08764994,5.16541773,5,53.900,,0.000,158,15,18,,
T,2021-10-15 15:01:44,52.08764994,5.16541773,5,53.900,,0.000,158,15,18,,
T,2021-10-15 15:01:45,52.08764994,5.16541773,5,53.900,,0.000,158,15,18,,
T,2021-10-15 15:01:46,52.08764994,5.16541773,5,53.900,,0.000,158,15,18,,
T,2021-10-15 15:01:47,52.08764994,5.16541773,5,53.900,,0.000,158,13,18,,
T,2021-10-15 15:01:48,52.08764994,5.16541773,5,53.900,,0.000,158,15,18,,
T,2021-10-15 15:01:49,52.08764994,5.16541773,5,53.900,,0.000,158,14,18,,
T,2021-10-15 15:01:50,52.08764994,5.16541773,5,53.900,,0.000,158,14,18,,
T,2021-10-15 15:01:51,52.08764994,5.16541773,5,53.900,,0.000,158,14,18,,
T,2021-10-15 15:01:52,52.08764994,5.16541773,5,53.900,,0.000,158,14,18,,
T,2021-10-15 15:01:53,52.08764994,5.16541773,5,53.900,,0.000,158,14,17,,
T,2021-10-15 15:01:54,52.08764994,5.16541773,5,53.900,,0.000,158,14,17,,
T,2021-10-15 15:01:55,52.08764994,5.16541773,5,53.900,,0.000,158,14,17,,
T,2021-10-15 15:01:56,52.08764994,5.16541773,5,53.900,,0.000,158,13,17,,
T,2021-10-15 15:01:57,52.08764994,5.16541773,5,53.900,,0.000,158,13,16,,
T,2021-10-15 15:01:58,52.08764994,5.16541773,5,53.900,,0.000,158,13,16,,
T,2021-10-15 15:01:59,52.08764994,5.16541773,5,53.900,,0.000,158,15,17,,
T,2021-10-15 15:02:00,52.08764994,5.16541773,5,53.900,,0.000,158,14,17,,
T,2021-10-15 15:02:01,52.08764994,5.16541773,5,53.900,,0.000,158,14,17,,
T,2021-10-15 15:02:02,52.08764994,5.16541773,5,53.900,,0.000,158,14,18,,
T,2021-10-15 15:02:03,52.08764994,5.16541773,5,53.900,,0.000,158,14,18,,
T,2021-10-15 15:02:04,52.08764994,5.16541773,5,53.900,,0.000,158,14,18,,
T,2021-10-15 15:02:05,52.08764994,5.16541773,5,53.900,,0.000,158,14,18,,
T,2021-10-15 15:02:06,52.08764994,5.16541773,5,53.900,,0.000,158,14,18,,
T,2021-10-15 15:02:07,52.08764994,5.16541773,5,53.900,,0.000,158,14,18,,
T,2021-10-15 15:02:08,52.08764994,5.16541773,5,53.900,,0.000,158,14,18,,
T,2021-10-15 15:02:09,52.08764994,5.16541773,5,53.900,,0.000,158,13,18,,
T,2021-10-15 15:02:10,52.08764994,5.16541773,5,53.900,,0.000,158,14,18,,
T,2021-10-15 15:02:11,52.08764994,5.16541773,5,53.900,,0.000,158,14,18,,
T,2021-10-15 15:02:12,52.08764994,5.16541773,5,53.900,,0.000,158,14,18,,
T,2021-10-15 15:02:13,52.08764994,5.16541773,5,53.900,,0.000,158,14,18,,
T,2021-10-15 15:02:14,52.08764994,5.16541773,5,53.900,,0.000,158,14,18,,
T,2021-10-15 15:02:15,52.08764994,5.16541773,5,53.900,,0.000,158,14,18,,
T,2021-10-15 15:02:16,52.08764994,5.16541773,5,53.900,,0.000,158,14,18,,
T,2021-10-15 15:02:17,52.08764994,5.16541773,5,53.900,,0.000,158,14,18,,
T,2021-10-15 15:02:18,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:02:19,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:02:20,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:02:21,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:02:22,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:02:23,52.08764994,5.16541773,5,53.900,,0.000,158,15,18,,
T,2021-10-15 15:02:24,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:02:25,52.08764994,5.16541773,5,53.900,,0.062,158,15,18,,
T,2021-10-15 15:02:26,52.08764994,5.16541773,5,53.900,,0.062,158,15,18,,
T,2021-10-15 15:02:27,52.08764994,5.16541773,5,53.900,,0.062,158,15,18,,
T,2021-10-15 15:02:28,52.08764994,5.16541773,5,53.900,,0.062,158,15,18,,
T,2021-10-15 15:02:29,52.08764994,5.16541773,5,53.900,,0.062,158,15,18,,
T,2021-10-15 15:02:30,52.08764994,5.16541773,5,53.900,,0.188,158,16,18,,
T,2021-10-15 15:02:31,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
T,2021-10-15 15:02:32,52.08764994,5.16541773,5,53.900,,0.062,158,15,18,,
T,2021-10-15 15:02:33,52.08764994,5.16541773,5,53.900,,0.062,158,15,18,,
T,2021-10-15 15:02:34,52.08764994,5.16541773,5,53.900,,0.062,158,15,18,,
T,2021-10-15 15:02:35,52.08764994,5.16541773,5,53.900,,0.000,158,15,18,,
T,2021-10-15 15:02:36,52.08764994,5.16541773,5,53.900,,0.000,158,15,18,,
T,2021-10-15 15:02:37,52.08764994,5.16541773,5,53.900,,0.000,158,15,18,,
T,2021-10-15 15:02:38,52.08764994,5.16541773,5,53.900,,0.000,158,15,18,,
T,2021-10-15 15:02:39,52.08764994,5.16541773,5,53.900,,0.000,158,15,18,,
T,2021-10-15 15:02:40,52.08764994,5.16541773,5,53.900,,0.000,158,15,18,,
T,2021-10-15 15:02:41,52.08764994,5.16541773,5,53.900,,0.000,158,16,18,,
